KFS_PROPOSAL_NUMBER,ORACLE_AWARD_NUMBER
127142,K324D77
127140,K324D79
127141,K324D80
127138,K324D81
127139,K324D82
127136,K324D83
127137,K324D84
127172,K324D85
127145,K324D86
127151,K324D87
127150,K324D89
127153,K324D90
127146,K324D91
127148,K324D93
127149,K324D94
127147,K324D95
127165,K324D98
127157,K324D99
131836,K324F00
131838,K324F01
131850,K324F03
131841,K324F04
131844,K324F05
131845,K324F06
131846,K324F07
131847,K324F08
131848,K324F09
131849,K324F10
131851,K324F11
131852,K324F12
131853,K324F13
131855,K324F15
131856,K324F16
131859,K324F17
131860,K324F18
131861,K324F19
131862,K324F20
131863,K324F21
131869,K324F22
132106,K324F24
131868,K324F25
131857,K324F26
131878,K324F36
131885,K324F37
131882,K324F38
131881,K324F39
131883,K324F40
131899,K324F42
131892,K324F43
131893,K324F44
131890,K324F45
131891,K324F46
131961,K324F47
131962,K324F48
131898,K324F50
131909,K324F52
131901,K324F53
131903,K324F54
131907,K324F55
131908,K324F56
131906,K324F57
131922,K324F58
132804,K324F59
131896,K324F61
131915,K324F63
131911,K324F64
131912,K324F65
131917,K324F67
131923,K324F68
131920,K324F69
131929,K324F73
131928,K324F74
131932,K324F75
131933,K324F76
131931,K324F77
131934,K324F78
131968,K324F79
132022,K324F82
131942,K324F83
131945,K324F84
131940,K324F85
131941,K324F86
131943,K324F87
132311,K324F88
131955,K324F89
131956,K324F90
131957,K324F91
132451,K324F92
132473,K324F93
132474,K324F94
132475,K324F95
132476,K324F96
132109,K324F97
131973,K324F98
132023,K324F99
106698,K325003
106720,K325004
107514,K325022
108090,K325039
108491,K325053
108664,K325067
108933,K325303
108910,K325324
108925,K325327
109120,K325335
109341,K325348
106813,K325361
107470,K325412
109037,K325443
109121,K325447
110492,K325457
110942,K325462
111861,K325476
107010,K325481
107444,K325496
107435,K325497
107438,K325498
107310,K325525
107388,K325549
107642,K325558
108150,K325568
107141,K325574
107298,K325580
107494,K325715
107499,K325717
107790,K325724
108038,K325738
108241,K325744
108278,K325745
108721,K325758
107340,K325760
108641,K325855
110175,K325870
107490,K325881
107489,K325883
107797,K325890
107692,K325977
113184,K325A04
113192,K325A09
113217,K325A15
113416,K325A36
113338,K325A46
113379,K325A48
113418,K325A51
113565,K325A59
113636,K325A60
114098,K325A70
113222,K325A93
113259,K325A95
117782,K325B02
117814,K325B07
117792,K325B08
117828,K325B11
117802,K325B14
117799,K325B17
117721,K325B18
117813,K325B21
117812,K325B22
117682,K325B26
117810,K325B27
117808,K325B29
117806,K325B31
